FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
/kadalu/ServiceAccount/kadalu-operator/path=2055873991/api=rbac.authorization.k8s.io/v1/kadalu/RoleBinding/kadalu-operator/path=4105774841/api=rbac.authorization.k8s.io/v1/kadalu/Role/kadalu-operator,Medium,Roles with delete capabilities,176,862,79.58237
/kadalu/ServiceAccount/kadalu-operator/path=1998265316/api=rbac.authorization.k8s.io/v1/kadalu/RoleBinding/kadalu-operator/path=2039096372/api=rbac.authorization.k8s.io/v1/kadalu/Role/kadalu-operator,Medium,Roles with delete capabilities,176,862,79.58237
/mongodb/ServiceAccount/mongodb-enterprise-operator/path=3300549852/api=rbac.authorization.k8s.io/v1//ClusterRole/mongodb-enterprise-operator-mongodb-webhook/path=3780459406/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/mongodb-enterprise-operator-mongodb-webhook-binding,Medium,Roles with delete capabilities,176,862,79.58237
/system/ServiceAccount/default/path=2785400033/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding/path=961442685/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role,Medium,Roles with delete capabilities,176,862,79.58237
/argo-rollouts/ServiceAccount/argo-rollouts/path=1117241198/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argo-rollouts/path=2303897291/api=rbac.authorization.k8s.io/v1//ClusterRole/argo-rollouts,Medium,Roles with delete capabilities,176,862,79.58237
/kube-system/ServiceAccount/secrets-store-csi-driver/path=4057657679/api=rbac.authorization.k8s.io/v1//ClusterRole/secretprovidersyncing-role/path=4119558686/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/secretprovidersyncing-rolebinding,Medium,Roles with delete capabilities,176,862,79.58237
/longhorn-system/ServiceAccount/longhorn-uninstall-service-account/path=688604511/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/longhorn-uninstall-bind/path=705382130/api=rbac.authorization.k8s.io/v1//ClusterRole/longhorn-uninstall-role,Medium,Roles with delete capabilities,176,862,79.58237
/system/ServiceAccount/controller-manager/path=2328894576/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role/path=653107381/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding,Medium,Roles with delete capabilities,176,862,79.58237
/monitoring/ServiceAccount/prometheus-operator/path=2136394069/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/prometheus-operator/path=3940206108/api=rbac.authorization.k8s.io/v1//ClusterRole/prometheus-operator,Medium,Roles with delete capabilities,176,862,79.58237
/argocd/ServiceAccount/argocd-application-controller/path=2092655285/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller/path=4076397629/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller,Medium,Roles with delete capabilities,176,862,79.58237
/kadalu/ServiceAccount/kadalu-operator/path=2104020808/api=rbac.authorization.k8s.io/v1/kadalu/RoleBinding/kadalu-operator/path=4105774841/api=rbac.authorization.k8s.io/v1/kadalu/Role/kadalu-operator,Medium,Roles with delete capabilities,176,862,79.58237
/argo-rollouts/ServiceAccount/argo-rollouts/path=4195967309/api=rbac.authorization.k8s.io/v1//ClusterRole/argo-rollouts/path=685973224/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argo-rollouts,Medium,Roles with delete capabilities,176,862,79.58237
/system/ServiceAccount/default/path=1403845679/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding/path=3916622812/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role,Medium,Roles with delete capabilities,176,862,79.58237
/argocd/ServiceAccount/argocd-application-controller/path=2092655285/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller/path=469512062/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller,Medium,Roles with delete capabilities,176,862,79.58237
/system/ServiceAccount/controller-manager/path=3439773797/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role/path=797785426/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding,Medium,Roles with delete capabilities,176,862,79.58237
